GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-2-villavicencio-utec,practica,ProfesorTC,0,10,0,0,0,3,0,2,0,2
practica-calificada-2-villavicencio-utec,practica,Administrativo,0,10,0,0,0,3,0,2,0,2
practica-calificada-2-villavicencio-utec,practica,Doctorado,0,11,0,0,0,4,0,2,0,2
practica-calificada-2-villavicencio-utec,practica,Pair,0,67,0,4,0,16,0,7,0,5
practica-calificada-2-villavicencio-utec,practica,Teacher,0,15,0,0,0,6,0,1,0,1
practica-calificada-2-villavicencio-utec,practica,Student,0,6,0,0,0,2,0,1,0,1
practica-calificada-2-villavicencio-utec,practica,Maestria,0,11,0,0,0,4,0,2,0,2
practica-calificada-2-villavicencio-utec,practica,Pregrado,0,9,0,0,0,4,0,2,0,2
practica-calificada-2-villavicencio-utec,practica,Principal,5,207,2,20,2,43,3,15,1,6
practica-calificada-2-villavicencio-utec,practica,ProfesorTP,0,7,0,0,0,3,0,2,0,2
